File title$Item title & copyright
liv_000916_copyright_information.txt$Livingstone, David, 1813-1873. Moteverde, Emilio Achilles, 1803-1881. Letter to The Earl of Clarendon, 26 August 1856.   
liv_001162_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 22 December 1857. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001173_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 9 January 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001228_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 12 February 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001230_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 13 February 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001243_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 17 February 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001261_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 28 February 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001282_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 8, 9 March 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001284_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 9 March 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001285_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 9 March 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001289_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 10 March 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001309_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 19, 28 April 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001329_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Laird, 21 June 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001357_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 13 September 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001369_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 28 September 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001378_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 6 October 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001383_copyright_information.txt$Livingstone, David, 1813-1873. Young, James, 1811-1883. Letter to James Young, 8 December 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001387_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 18 December 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001400_copyright_information.txt$Livingstone, David, 1813-1873. Young, James, 1811-1883. Letter to James Young, 15 February 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001402_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 16 February 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001419_copyright_information.txt$Livingstone, David, 1813-1873. Young, James, 1811-1883. Letter to James Young, 8 May 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001428_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 25 May 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001453_copyright_information.txt$Livingstone, David, 1813-1873. Young, James, 1811-1883. Letter to James Young, 22 July 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001464_copyright_information.txt$Livingstone, David, 1813-1873. Young, James, 1811-1883. Letter to James Young, 6 August 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001470_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 10 October 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001489_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 20 October, 30 November [1859]. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001508_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 5 November 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001512_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 10 November 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001513_copyright_information.txt$Livingstone, David, 1813-1873. Statement Respecting a Turning Lathe Furnished by Mr. John Laird to the Zambesi Expedition, 13 November 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001531_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 4 February 1860, and Copy with Additions of Letter to William E.A. Gordon, 3 November 1859. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001541_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 20 February 1860. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001554_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 25 March 1860. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001582_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 12 September 1860. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001593_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 26 November, 20 December 1860. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001598_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 28 November 1860. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001620_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 1 February 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001631_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 5 March 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001641_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 11 March 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001656_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 18 April 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001657_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Henry Keppel, 20 April 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_003050_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Daniel J. May, 20 April 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001661_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Henry Keppel, 1 May 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001664_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 1 May 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001671_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 20 May 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001672_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Henry Keppel, 21 May 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001702_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 6, 20 December 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001706_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 20 December 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001715_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 6 January 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001721_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 31 January 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001734_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 21 February 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001744_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 7 March 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001753_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 17 March 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001757_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 24 March 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001762_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 1 April 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001764_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 3 April 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001778_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 5 May 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001780_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 15 May 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001781_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 21 May 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001788_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 6 June 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001802_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 22 July 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001815_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 15 August 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001822_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 2 September 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001825_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 4 September 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001832_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 15 October 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001841_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 1 November 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001854_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 15 December 1862. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001890_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Washington, 23, 24 February 1863. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_001911_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [John Washington], 29 April 1863. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002687_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Daniel J. May, 20 April 1861. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002836_copyright_information.txt$Livingstone, David, 1813-1873. Agreement between David Livingstone and Six European Members of the Zambezi Expedition, 22 February 1858. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002810_copyright_information.txt$Livingstone, David, 1813-1873. Signed Copy of Analysis of the Language of the Bechuanas, [1858]. Images copyright National Museum of the Royal Navy. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
